BLB,BLACK BUTTE,STONY CR,TEHAMA,-122.329,39.808,426,US Army Corps of Engineers
BLC,BLUE CANYON,AMERICAN R,PLACER,-120.7081,39.2761,5280,US Bureau of Reclamation
BLD,BLOODS CREEK,STANISLAUS R,ALPINE,-120.033,38.45,7200,US Bureau of Reclamation
BLH,BALCH PH,KINGS R,FRESNO,-119.083,36.917,1720,Pacific Gas & Electric
BLK,BLUE LAKES,MOKELUMNE R,ALPINE,-119.931,38.613,8000,Natural Resources Conservation Service
BLM,BLACK MOUNTAIN,SALINAS R,SAN LUIS OBISPO,-120.353,35.395,3625,CA Dept of Water Resources/Flood Management
BLO,BEN LOMOND (CDF),SAN LORENZO R,SANTA CRUZ,-122.17,37.132,2630,CAL FIRE
BLP,BLIND POINT,DELTA,CONTRA COSTA,-121.71904,38.03245,0,CA Dept of Water Resources
BLS,BLACK SPRINGS,STANISLAUS R,CALAVERAS,-120.192,38.375,6500,US Bureau of Reclamation
BLT,BEN BOLT,COSUMNES R,EL DORADO,-121.017,38.586,1138,CAL FIRE
BMO,BRANCH MOUNTAIN,SALINAS R,SAN LUIS OBISPO,-120.083,35.189,3770,US Forest Service
BMT,BALD MOUNTAIN (USFS),RUBICON R,EL DORADO,-120.683,38.9,4680,US Forest Service
BMW,BIG MEADOWS (SCS),TRUCKEE R,State of Nevada,-119.946,39.458,8700,Natural Resources Conservation Service
BND,SACRAMENTO RIVER AT BEND BRIDGE,SACRAMENTO R,TEHAMA,-122.18666,40.28849,286,USGS and DWR
BNE,BRIONES,EAST BAY,CONTRA COSTA,-122.118,37.934,1450,East Bay Regional Parks Fire-Rescue Services
BNK,BONANZA KING,TRINITY R,TRINITY,-122.628,41.083,6450,US Bureau of Reclamation
BNR,BUNNING RANCH,FRESNO R,MARIPOSA,-119.89,37.3678,1520,US Army Corps of Engineers
BNV,BOONVILLE,NAVARRO RIVER,MENDOCINO,-123.3486,38.9875,840,CAL FIRE
BNY,BURNS CANYON,WHITEWATER R,SAN BERNARDINO,-116.6217,34.208,6000,CAL FIRE
BOC,BOCA RESERVOIR,TRUCKEE R,NEVADA,-120.1,39.383,5521,US Bureau of Reclamation
BOL,BOWMAN LAKE,YUBA R,NEVADA,-120.6536,39.4481,5390,CA Dept of Water Resources/Flood Management
BPD,PARROT DIV FROM BUTTE CREEK,BUTTE CR,BUTTE,-121.75419,39.7089,269,CA Dept of Water Resources
BPF,BIG PINE FLAT,SANTA ANA R,SAN BERNARDINO,-117.013,34.319,6861,US Forest Service
BPI,BIG PINES,ANTELOPE VALLEY,LOS ANGELES,-117.692,34.379,3917,US Forest Service
BPT,BRIDGEPORT,WALKER R,MONO,-119.289,38.272,6650,US Forest Service
BRA,SALINAS RIVER NEAR BRADLEY,SALINAS R,MONTEREY,-120.86879,35.93024,443,USGS and DWR
BRC,BEAR CREEK NEAR LODI,SAN JOAQUIN R,SAN JOAQUIN,-121.211,38.074,60,San Joaquin County
BRD,BEARDSLEY LAKE,STANISLAUS R,TUOLUMNE,-120.075,38.203,3398,Oakdale South San Joaquin Irrigation District
BRE,BEAR R AT ROLLINS RESERVOIR,BEAR R,PLACER,-120.953,39.133,1945,"Pacific Gas and Electric Company, Auburn"
BRI,VAN DUZEN R NR BRIDGEVILLE AT GRIZZLY CR,VAN DUZEN R,HUMBOLDT,-123.89088,40.48042,358,USGS and DWR
BRM,BEAR TRAP MEADOW,KAWEAH R,TULARE,-118.858,36.676,6800,US Army Corps of Engineers
BRP,BEAR PEAK,KERN R,TULARE,-118.052,35.884,8228,US Bureau of Land Management
BRR,BARREL SPRINGS,PIT R,State of Nevada,-119.9389,41.9111,5835,US Bureau of Land Management
BRS,BRUSH CREEK (DWR),FEATHER R,BUTTE,-121.339,39.692,3560,CA Dept of Water Resources/O & M
BRY,SACRAMENTO RIVER AT BRYTE,SACRAMENTO R,YOLO,-121.533,38.602,30,CA Dept of Water Resources
BSH,BISHOP PASS,KINGS R,FRESNO,-118.557,37.1,11200,CA Dept of Water Resources/Snow Surveys
BSK,BURNSIDE LAKE,CARSON R,ALPINE,-119.8942,38.7194,8129,Natural Resources Conservation Service
BSS,BROOKS,CACHE CR,YOLO,-122.14472,38.73834,360,CAL FIRE
BTA,BETA,AMERICAN R,EL DORADO,-120.2,38.8,7600,CA Dept of Water Resources/O & M
BTC,SACRAMENTO RIVER AT BUTTE CITY,SACRAMENTO R,GLENN,-121.99416,39.45784,99,CA Dept of Water Resources
BTN,BENTON,OWENS R,MONO,-118.478,37.843,5450,CAL FIRE
BTR,BATTLE RIDGE,SACTO VLY WEST,TEHAMA,-121.75,40.333,3400,US Bureau of Reclamation
BTT,BATTERSON,SAN JOAQUIN R,MADERA,-119.617,37.383,3160,US Forest Service
BTV,BUTT VALLEY,FEATHER R,PLUMAS,-121.186,40.187,4144,Pacific Gas & Electric
BUC,BUCHANAN DAM,CHOWCHILLA R,MADERA,-119.97,37.213,450,US Army Corps of Engineers
BUD,BULLARDS BAR,YUBA R,YUBA,-121.1439,39.3963,2100,Yuba County Water Agency
BUL,NEW BULLARDS BAR,YUBA R,YUBA,-121.14,39.393,1965,Yuba County Water Agency
BUP,BUCKS CREEK POWERHOUSE,FEATHER R,PLUMAS,-121.333,39.917,1760,Pacific Gas & Electric
BUR,BURNS CREEK DAM,MERCED R,MERCED,-120.275,37.377,319,US Army Corps of Engineers
BUT,BUTTERCUP,COLORADO R,IMPERIAL,-114.884,32.74,320,US Bureau of Land Management
BWC,BUTTE CREEK NR WESTERN CANAL,BUTTE CR,BUTTE,-121.83651,39.55572,204,CA Dept of Water Resources
BYM,BLUE CANYON (DWR-2),AMERICAN R,PLACER,-120.7,39.283,5280,CA Dept of Water Resources
BZR,BRAZIE RANCH,KLAMATH R,SISKIYOU,-122.6,41.687,3020,CAL FIRE
C12,CAL AQUEDUCT CHECK 12 (KA006633),SAN JOAQUIN R,MERCED,-121.058,37.118,224,CA Dept of Water Resources/O & M
C13,CAL AQUEDUCT CHECK 13 (KA007089),SAN JOAQUIN R,MERCED,-121.0151,37.0742,204,CA Dept of Water Resources/O & M
C18,CAL AQUEDUCT CHECK 18 (KA014321),KINGS R,FRESNO,-120.229,36.326,321,CA Dept of Water Resources/O & M
C21,CAL AQUEDUCT CHECK 21 (KA017226),KINGS R,KINGS,-119.9769,36.0142,320,CA Dept of Water Resources/O & M
C29,CAL AQUEDUCT CHECK 29 (KA024454),KERN R,KERN,-119.3299,35.232,291,CA Dept of Water Resources/O & M
C41,CAL AQUEDUCT CHECK 41 (KA030341),MOJAVE R,KERN,-118.7119,34.834,3280,CA Dept of Water Resources/O & M
C66,CAL AQUEDUCT CHECK 66 (KA040341),MOJAVE R,SAN BERNARDINO,-117.3036,34.336,3448,CA Dept of Water Resources/O & M
CAD,CALAVERAS ROAD,ALAMEDA CR,ALAMEDA,-121.8439,37.5531,1140,San Francisco PUC
CAG,CAMP ANGELUS,SANTA ANA R,SAN BERNARDINO,-116.978,34.15,5780,None Specified
CAM,CAMPTONVILLE (DWR),YUBA R,YUBA,-121.049,39.451,2755,CA Dept of Water Resources/O & M
CAP,CAPLES LAKE,AMERICAN R,ALPINE,-120.042,38.71,8000,US Bureau of Reclamation
CAR,CARPENTER RIDGE,BUTTE CR,BUTTE,-121.582,40.069,4812,CAL FIRE
CAS,CASTAIC,SANTA CLARA R,LOS ANGELES,-118.6101,34.5152,1535,"CA Dept of Water Resources, Southern Field Div"
CAU,CAHUILLA,COLORADO R,IMPERIAL,-115.174,32.974,278,US Bureau of Land Management
CBO,CARIBOU PH,FEATHER R,PLUMAS,-121.15,40.085,2986,Pacific Gas & Electric
CBT,CRABTREE MEADOW,KERN R,TULARE,-118.34795,36.56368,10700,CA Dept of Water Resources/Snow Surveys
CCE,COW CREEK (USBR),SACTO VLY NE,SHASTA,-121.853,40.603,2840,US Bureau of Reclamation
CCH,CACHUMA LAKE,SANTA YNEZ R,SANTA BARBARA,-119.98,34.583,781,US Bureau of Reclamation
CCS,CACHE SLOUGH,DELTA,SOLANO,-121.742,38.295,0,US Bureau of Reclamation
CCT,CALAVERAS COTTAGE,ALAMEDA CR,SANTA CLARA,-121.82079,37.48832,822,San Francisco PUC
CCW,CCWD MIDDLE RIVER PP ON VICTORIA CANAL,DELTA,CONTRA COSTA,-121.54379,37.86654,0,Contra Costa Water District
CCY,CACHE CREEK AT YOLO,CACHE CR,YOLO,-121.80715,38.72663,86,US Geological Survey
CDP,CEDAR PASS,PIT R,MODOC,-120.303,41.583,7100,Natural Resources Conservation Service
CEK,CLEAR CREEK RAWS,LOS ANGELES R,LOS ANGELES,-118.153,34.271,3000,US Forest Service
CFF,COFFEE CREEK RANGER STATION,TRINITY R,TRINITY,-122.7086,41.0894,2503,CA Dept of Water Resources/Flood Management
CFL,CRANE FLAT LOOKOUT,MERCED R,MARIPOSA,-119.8,37.75,5957,National Park Service
CFR,COFFEE RIDGE,TRINITY R,TRINITY,-122.717,41.083,3040,US Bureau of Reclamation
CFW,BEAR RIVER AT CAMP FAR WEST DAM,BEAR R,YUBA,-121.317,39.05,260,CA Dept of Water Resources/Flood Management
CGR,CEDAR GROVE,KINGS R,TULARE,-118.659,36.788,4720,National Park Service
CGT,COLGATE PH,YUBA R,YUBA,-121.19,39.3308,600,CA Dept of Water Resources/Flood Management
CHA,CALLAHAN (USFS),SCOTT R,SISKIYOU,-122.833,41.333,3136,US Forest Service
CHE,CHEESEBORO,VENTURA LA COASTAL,VENTURA,-118.7172,34.1847,1650,National Park Service
CHG,CHICAGO,AMERICAN R,SACRAMENTO,-121.254,38.652,210,Sacramento County
CHI,CHICO,BUTTE CR,BUTTE,-121.783,39.712,230,CAL FIRE
CHL,CHALLENGE RANGER STATION,YUBA R,YUBA,-121.217,39.483,3200,US Forest Service
CHM,CHILKOOT MEADOW,SAN JOAQUIN R,MADERA,-119.49,37.41,7150,US Bureau of Reclamation
CHP,CHAGOOPA PLATEAU,KERN R,TULARE,-118.44672,36.49714,10300,CA Dept of Water Resources/Snow Surveys
CHS,CHESTER,FEATHER R,PLUMAS,-121.233,40.283,4525,US Forest Service
CHT,PAJARO RIVER AT CHITTENDEN,PAJARO R,SANTA CRUZ,-121.59772,36.90023,82,USGS and DWR
CHV,CHERRY VALLEY DAM,TUOLUMNE R,TUOLUMNE,-119.917,37.967,4765,Hetch Hetchy Water and Power
CIO,CHILAO,SAN GABRIEL R,LOS ANGELES,-118.033,34.333,5450,US Forest Service
CIS,OLD RIVER AT CONEY ISLAND,SAN JOAQUIN R,SAN JOAQUIN,-121.53797,37.84589,5,CA Dept of Water Resources
CKC,CITY CREEK RANGER STATION,SANTA ANA R,SAN BERNARDINO,-117.181,34.186,2610,None Specified
CKR,COOK RANCH,CALAVERAS R,SAN JOAQUIN,-120.946,38.016,325,San Joaquin County
CLA,CLEAR LK - CACHE CREEK,CACHE CR,LAKE,-122.642,38.957,1336,Yolo County Flood Control and Water Consv Dist
CLB,COLLINS BALDY,KLAMATH R,SISKIYOU,-122.9503,41.775,5493,US Forest Service
CLC,CLIFTON COURT,DELTA,CONTRA COSTA,-121.5574,37.8298,3,CA Dept of Water Resources/O & M
CLE,TRINITY LAKE,TRINITY R,TRINITY,-122.762,40.801,2370,US Bureau of Reclamation
CLF,COLFAX,AMERICAN R,PLACER,-120.951,39.122,2400,National Weather Service
CLG,COLGATE PH,YUBA R,YUBA,-121.183,39.333,600,Pacific Gas & Electric
CLH,CLEAR LK HIGHLANDS (OBS),SACTO VLY WEST,LAKE,-122.6,38.9,1340,National Weather Service
CLL,COLLINSVILLE,DELTA,SOLANO,-121.833,38.083,0,US Bureau of Reclamation
CLO,COVELO,EEL R,MENDOCINO,-123.08319,39.82611,1487,CA Dept of Water Resources/Flood Management
CLR,CLEAR CREEK,SACTO VLY NE,SHASTA,-122.667,40.639,3300,US Bureau of Reclamation
CLV,RUSSIAN RIVER AT CLOVERDALE,RUSSIAN R,MENDOCINO,-123.05361,38.87935,107,CA Dept of Water Resources/Flood Management
CMI,CAMINO,AMERICAN R,EL DORADO,-120.533,38.833,3000,Sacramento Municipal Utility District
CMN,CAMANCHE RESERVOIR,MOKELUMNE R,SAN JOAQUIN,-121.021,38.225,236,East Bay Municipal Utility District
CMO,CLAREMONT,LOS ANGELES R,LOS ANGELES,-117.707,34.137,1645,Los Angeles County Fire Dept
CMP,TARGET RANGE PENDELTON,SANTA MARGARITA R,SAN DIEGO,-117.359,33.372,918,US Marine Corps
CMV,CAMPTONVILLE RS (USFS),YUBA R,YUBA,-121.045,39.455,2503,US Forest Service
